Experiment_identifier_1,Experiment_identifier_2,TargetOchConc,Control_Type,Time_0,Time_1,Time_2,Time_3,Prey_0,Prey_1,Prey_2,Prey_3,Pred_0,Pred_1,Pred_2,Pred_3
584,A,0,Predator_Free,0,1,2,3,741,228,969,4883,0,0,0,0
584,A,25000,Predator_Free,0,1,2,3,20511,15726,24557,33501,0,0,0,0
584,A,50000,Predator_Free,0,1,2,3,49282,31967,57264,63883,0,0,0,0
584,A,75000,Predator_Free,0,1,2,3,76973,48726,77484,87685,0,0,0,0
584,A,100000,Predator_Free,0,1,2,3,107225,76510,89041,85538,0,0,0,0
584,A,125000,Predator_Free,0,1,2,3,125564,105118,100437,102322,0,0,0,0
584,A,0,Prey_Free,0,1,2,3,1140,570,1254,8465,1458,2160,700,800
584,A,25000,Treatment,0,1,2,3,18804,6670,7408,9543,850,1840,1080,1100
584,A,50000,Treatment,0,1,2,3,51112,14873,14511,24335,817,1650,1150,1040
584,A,75000,Treatment,0,1,2,3,67076,37895,16466,28909,930,2590,1290,1130
584,A,100000,Treatment,0,1,2,3,102270,39941,29403,64805,1120,1530,1190,1470
584,A,125000,Treatment,0,1,2,3,133891,51685,42801,55650,1280,2110,1925,1620
584,B,0,Predator_Free,0,1,2,3,627,513,684,3889,0,0,0,0
584,B,25000,Predator_Free,0,1,2,3,18063,25240,20337,30604,0,0,0,0
584,B,50000,Predator_Free,0,1,2,3,40119,33448,44606,56325,0,0,0,0
584,B,75000,Predator_Free,0,1,2,3,63817,83496,75490,70776,0,0,0,0
584,B,100000,Predator_Free,0,1,2,3,74919,68089,93327,85188,0,0,0,0
584,B,125000,Predator_Free,0,1,2,3,99753,108596,133311,84156,0,0,0,0
584,B,0,Prey_Free,0,1,2,3,855,513,570,7896,1270,2030,970,1000
584,B,25000,Treatment,0,1,2,3,18006,5641,6040,11159,760,2220,1330,1040
584,B,50000,Treatment,0,1,2,3,39778,17609,11567,19394,1350,1060,1150,1400
584,B,75000,Treatment,0,1,2,3,65409,21372,14586,32711,1060,1700,1620,1750
584,B,100000,Treatment,0,1,2,3,90588,16181,41085,48366,1030,1220,1500,1600
584,B,125000,Treatment,0,1,2,3,116404,34816,47294,37855,1130,1330,1790,2788
584,C,0,Predator_Free,0,1,2,3,684,741,570,2811,0,0,0,0
584,C,25000,Predator_Free,0,1,2,3,18746,21482,20281,38581,0,0,0,0
584,C,50000,Predator_Free,0,1,2,3,42569,47856,60785,73787,0,0,0,0
584,C,75000,Predator_Free,0,1,2,3,65063,50648,55490,78243,0,0,0,0
584,C,100000,Predator_Free,0,1,2,3,96565,75999,86817,117100,0,0,0,0
584,C,125000,Predator_Free,0,1,2,3,105514,105420,96761,125985,0,0,0,0
584,C,0,Prey_Free,0,1,2,3,912,855,3533,8408,1260,1160,1030,867
584,C,25000,Treatment,0,1,2,3,19201,5470,4103,11954,1050,1170,1130,1420
584,C,50000,Treatment,0,1,2,3,43073,11168,13731,23342,940,1570,1010,1270
584,C,75000,Treatment,0,1,2,3,63298,21650,10768,30895,1160,1690,1410,1630
584,C,100000,Treatment,0,1,2,3,91672,32588,19827,33875,820,940,1170,1890
584,C,125000,Treatment,0,1,2,3,109905,38288,33391,55826,1010,1160,1260,2130
590,A,0,Predator_Free,0,1,2,3,570,741,342,1025,0,0,0,0
590,A,25000,Predator_Free,0,1,2,3,4558,5300,5355,6267,0,0,0,0
590,A,50000,Predator_Free,0,1,2,3,25983,22788,20339,15953,0,0,0,0
590,A,75000,Predator_Free,0,1,2,3,31677,28089,24498,23644,0,0,0,0
590,A,100000,Predator_Free,0,1,2,3,34355,25694,32361,30365,0,0,0,0
